LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
57m         Normal    Killing                        pod/gateway-7b76d459b9-sl6ph            Stopping container gateway
57m         Normal    Killing                        pod/gateway-7b76d459b9-hszdg            Stopping container gateway
57m         Normal    Killing                        pod/product-7f7cb5797d-48lg7            Stopping container product
57m         Normal    SuccessfulDelete               replicaset/product-7f7cb5797d           Deleted pod: product-7f7cb5797d-48lg7
57m         Normal    Killing                        pod/inventory-7c5c586469-lq6f8          Stopping container inventory
57m         Normal    ScalingReplicaSet              deployment/inventory                    Scaled down replica set inventory-7c5c586469 from 4 to 2
57m         Normal    SuccessfulDelete               replicaset/inventory-7c5c586469         Deleted pod: inventory-7c5c586469-dkg5s
57m         Normal    Killing                        pod/gateway-7b76d459b9-sszzk            Stopping container gateway
57m         Normal    SuccessfulDelete               replicaset/inventory-7c5c586469         Deleted pod: inventory-7c5c586469-lq6f8
57m         Normal    Killing                        pod/order-556547d684-zswk8              Stopping container order
57m         Normal    Killing                        pod/gateway-7b76d459b9-d9ss7            Stopping container gateway
57m         Normal    SuccessfulRescale              horizontalpodautoscaler/inventory-hpa   New size: 2; reason: All metrics below target
57m         Normal    ScalingReplicaSet              deployment/order                        Scaled down replica set order-556547d684 from 10 to 7
57m         Normal    Killing                        pod/gateway-7b76d459b9-kvspx            Stopping container gateway
57m         Warning   BackOff                        pod/payment-84d4c68676-xh6k8            Back-off restarting failed container payment in pod payment-84d4c68676-xh6k8_shoply(0679d06f-09b9-418a-9db5-b15321d74008)
57m         Normal    Killing                        pod/order-556547d684-kk58j              Stopping container order
57m         Normal    SuccessfulDelete               replicaset/order-556547d684             Deleted pod: order-556547d684-kk58j
57m         Normal    Killing                        pod/gateway-7b76d459b9-mb4cj            Stopping container gateway
57m         Normal    Killing                        pod/order-556547d684-jzf6v              Stopping container order
57m         Normal    Killing                        pod/order-556547d684-c4brx              Stopping container order
57m         Normal    Pulling                        pod/payment-84d4c68676-7qj4t            Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
57m         Normal    Pulled                         pod/payment-84d4c68676-7qj4t            Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 710ms (710ms including waiting). Image size: 62780980 bytes.
57m         Normal    Created                        pod/payment-84d4c68676-7qj4t            Created container: payment
57m         Normal    Pulling                        pod/payment-84d4c68676-xh6k8            Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
57m         Normal    Started                        pod/payment-84d4c68676-xh6k8            Started container payment
57m         Normal    Pulled                         pod/payment-84d4c68676-xh6k8            Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 750ms (750ms including waiting). Image size: 62780980 bytes.
57m         Normal    Created                        pod/payment-84d4c68676-xh6k8            Created container: payment
57m         Normal    SuccessfulRescale              horizontalpodautoscaler/order-hpa       (combined from similar events): New size: 2; reason: All metrics below target
57m         Normal    Killing                        pod/order-556547d684-d2fh6              Stopping container order
57m         Normal    Killing                        pod/order-556547d684-6dppq              Stopping container order
57m         Normal    ScalingReplicaSet              deployment/order                        (combined from similar events): Scaled down replica set order-556547d684 from 4 to 2
56m         Warning   BackOff                        pod/payment-84d4c68676-h2msj            Back-off restarting failed container payment in pod payment-84d4c68676-h2msj_shoply(ee12d018-35d7-45b0-a622-ef24306649f4)
56m         Normal    SuccessfulDelete               replicaset/payment-84d4c68676           Deleted pod: payment-84d4c68676-9f56k
56m         Normal    SuccessfulDelete               replicaset/payment-84d4c68676           Deleted pod: payment-84d4c68676-h2msj
56m         Normal    SuccessfulRescale              horizontalpodautoscaler/payment-hpa     New size: 4; reason: All metrics below target
56m         Normal    ScalingReplicaSet              deployment/payment                      Scaled down replica set payment-84d4c68676 from 6 to 4
56m         Normal    SuccessfulRescale              horizontalpodautoscaler/payment-hpa     (combined from similar events): New size: 2; reason: All metrics below target
56m         Normal    Killing                        pod/payment-84d4c68676-bbn7b            Stopping container payment
56m         Normal    Killing                        pod/payment-84d4c68676-2gdhh            Stopping container payment
56m         Warning   Unhealthy                      pod/payment-84d4c68676-2gdhh            Readiness probe failed: Get "http://10.244.1.70:4004/health": dial tcp 10.244.1.70:4004: connect: connection refused
56m         Normal    ScalingReplicaSet              deployment/payment                      (combined from similar events): Scaled down replica set payment-84d4c68676 from 4 to 2
11m         Normal    SuccessfulRescale              horizontalpodautoscaler/order-hpa       New size: 3; reason: cpu resource utilization (percentage of request) above target
